航班,始发地,目的地,经停,计划到达,航站楼,状态
8L9616,济南,成都,,0:00,T2,计划00:00到达
MU5415,上海虹桥,成都,,0:05,T2,已于00:09到达
3U5016,上海虹桥,成都,,0:05,T2,已于00:09到达
3U8986,南通,成都,,0:05,T1,已于00:46到达
CZ9682,南通,成都,,0:05,T1,已于00:46到达
CA4118,北京,成都,,0:05,T2,已于00:54到达
ZH4118,北京,成都,,0:05,T2,已于00:54到达
CA4502,上海虹桥,成都,,0:05,T2,计划00:05到达
SC4502,上海虹桥,成都,,0:05,T2,计划00:05到达
ZH4502,上海虹桥,成都,,0:05,T2,计划00:05到达
3U8094,新加坡樟宜,成都,,0:05,T1,已于01:28到达
CZ4088,新加坡樟宜,成都,,0:05,T1,已于01:28到达
ZH9411,深圳,成都,,0:05,T2,已于00:00到达
CA3711,深圳,成都,,0:05,T2,已于00:00到达
ZH9490,太原,成都,,0:10,T2,已于00:12到达
CA3790,太原,成都,,0:10,T2,已于00:12到达
3U8090,清迈,成都,,0:10,T1,计划00:10到达
CA4538,义乌,成都,,0:10,T2,已于01:01到达
TV6458,义乌,成都,,0:10,T2,已于01:01到达
ZH4538,义乌,成都,,0:10,T2,已于01:01到达
EU2260,杭州,成都,,0:10,T2,已于00:44到达
3U8736,广州,成都,,0:10,T1,已于00:12到达
CZ4984,广州,成都,,0:10,T1,已于00:12到达
3U8920,杭州,成都,,0:10,T1,已于00:54到达
CZ9662,杭州,成都,,0:10,T1,已于00:54到达
MF5110,杭州,成都,,0:10,T1,已于00:54到达
MU3944,杭州,成都,,0:10,T1,已于00:54到达
EU2720,兴义,成都,,0:15,T2,计划00:15到达
EU2716,北海,成都,,0:15,T2,计划00:15到达
3U1640,北海,成都,,0:15,T2,计划00:15到达
3U8086,东京成田,成都,,0:20,T1,已于23:56到达
CZ4082,东京成田,成都,,0:20,T1,已于23:56到达
CA4536,上海浦东,成都,,0:20,T2,已于01:20到达
SC4536,上海浦东,成都,,0:20,T2,已于01:20到达
TV6456,上海浦东,成都,,0:20,T2,已于01:20到达
ZH4536,上海浦东,成都,,0:20,T2,已于01:20到达
CA4280,库车,成都,,0:20,T2,计划00:20到达
3U8667,昆明,成都,,0:25,T1,已于00:07到达
CA4064,宁波,成都,,0:25,T2,已于01:52到达
CA4154,乌鲁木齐,成都,,0:25,T2,已于00:28到达
SC4154,乌鲁木齐,成都,,0:25,T2,已于00:28到达
TV6304,乌鲁木齐,成都,,0:25,T2,已于00:28到达
ZH4154,乌鲁木齐,成都,,0:25,T2,已于00:28到达
MU2230,合肥,成都,,0:25,T2,计划00:25到达
