航班,始发地,目的地,经停,计划到达,航站楼,状态
8L9616,济南,成都,,0:00,T2,计划00:00到达
MU5415,上海虹桥,成都,,0:05,T2,已于00:09到达
3U8986,南通,成都,,0:05,T1,已于00:46到达
CA4118,北京,成都,,0:05,T2,已于00:54到达
CA4502,上海虹桥,成都,,0:05,T2,计划00:05到达
3U8094,新加坡樟宜,成都,,0:05,T1,已于01:28到达
ZH9411,深圳,成都,,0:05,T2,已于00:00到达
ZH9490,太原,成都,,0:10,T2,已于00:12到达
3U8090,清迈,成都,,0:10,T1,计划00:10到达
CA4538,义乌,成都,,0:10,T2,已于01:01到达
EU2260,杭州,成都,,0:10,T2,已于00:44到达
3U8736,广州,成都,,0:10,T1,已于00:12到达
3U8920,杭州,成都,,0:10,T1,已于00:54到达
EU2720,兴义,成都,,0:15,T2,计划00:15到达
EU2716,北海,成都,,0:15,T2,计划00:15到达
3U8086,东京成田,成都,,0:20,T1,已于23:56到达
CA4536,上海浦东,成都,,0:20,T2,已于01:20到达
CA4280,库车,成都,,0:20,T2,计划00:20到达
3U8667,昆明,成都,,0:25,T1,已于00:07到达
CA4064,宁波,成都,,0:25,T2,已于01:52到达
CA4154,乌鲁木齐,成都,,0:25,T2,已于00:28到达
MU2230,合肥,成都,,0:25,T2,计划00:25到达
MU5273,北京,成都,,0:30,T2,已于00:41到达
CZ6119,北京,成都,,0:30,T2,已于00:21到达
3U8938,厦门,成都,,0:30,T1,已于01:18到达
3U8970,沈阳桃仙,成都,,0:30,T1,已于00:23到达
3U8994,南京,成都,,0:35,T1,计划00:35到达
U2258,长春,成都,,0:35,T2,已于03:06到达
TV9878,长春,成都,,0:35,T2,已于02:24到达
MU5417,上海浦东,成都,,0:40,T2,已于00:33到达
HU7347,北京,成都,,0:40,T2,已于01:25到达
CA4588,武汉,成都,,0:45,T2,已于00:49到达
3U8770,营口,成都,,0:45,T1,已于00:48到达
8L9945,昆明,成都,,0:45,T2,已于00:24到达
EU2724,大连,成都,,0:45,T2,已于00:26到达
TV9880,沈阳桃仙,成都,,0:50,T2,已于02:59到达
CA4182,太原,成都,,0:50,T2,已于00:30到达
TV9820,厦门,成都,,0:55,T2,已于00:42到达
ZH9545,无锡,成都,,0:55,T2,已于01:22到达
3U8996,无锡,成都,,0:55,T1,已于00:36到达
3U8862,天津,成都,,0:55,T1,已于01:07到达
RU585,莫斯科,成都,,1:00,T2,已于00:56到达
EU2206,南京,成都,,1:00,T2,计划01:00到达
EU2224,昆明,成都,,1:00,T2,已于00:51到达
CA4324,桂林,成都,,1:00,T2,已于00:34到达
