Schedule,PlaneNum,Passenger,TaxiPassenger,PROB,Timepassenger£®Predict£©,TimeCar£®Predict£©,numpassenger,Allpassenger,numcar,Numpassenger/t£®2*10/20£©,Numcar/t£®10/20£©,t1,t3,w”Õ(km*f)
0:00,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
0:05,5,1500,300,0.8,350,260,50,350,130,1,0.5,260,180,1.8
0:10,5,1500,300,0.8,350,260,50,350,130,1,0.5,260,180,1.8
0:15,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
0:20,2,600,120,0.8,170,260,50,170,130,1,0.5,170,180,1.8
0:25,3,900,180,0.8,230,260,50,230,130,1,0.5,230,180,1.8
0:30,3,900,180,0.8,230,260,50,230,130,1,0.5,230,180,1.8
0:35,2,600,120,0.8,170,260,50,170,130,1,0.5,170,180,1.8
0:40,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
0:45,3,900,180,0.8,230,260,50,230,130,1,0.5,230,180,1.8
0:50,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
0:55,3,900,180,0.8,230,260,50,230,130,1,0.5,230,180,1.8
1:00,3,900,180,0.8,230,260,50,230,130,1,0.5,230,180,1.8
1:05,3,900,180,0.8,230,260,50,230,130,1,0.5,230,180,1.8
1:10,2,600,120,0.8,170,260,50,170,130,1,0.5,170,180,1.8
1:15,0,0,0,0.8,50,260,50,50,130,1,0.5,50,180,1.8
1:20,2,600,120,0.8,170,260,50,170,130,1,0.5,170,180,1.8
1:25,2,600,120,0.8,170,260,50,170,130,1,0.5,170,180,1.8
1:30,2,600,120,0.8,170,260,50,170,130,1,0.5,170,180,1.8
1:35,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
1:40,2,600,120,0.8,170,260,50,170,130,1,0.5,170,180,1.8
1:45,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
1:50,3,900,180,0.8,230,260,50,230,130,1,0.5,230,180,1.8
1:55,3,900,180,0.8,230,260,50,230,130,1,0.5,230,180,1.8
2:00,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
2:05,2,600,120,0.8,170,260,50,170,130,1,0.5,170,180,1.8
2:10,0,0,0,0.8,50,260,50,50,130,1,0.5,50,180,1.8
2:15,2,600,120,0.8,170,260,50,170,130,1,0.5,170,180,1.8
2:20,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
2:30,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
3:10,0,0,0,0.8,50,260,50,50,130,1,0.5,50,180,1.8
4:30,0,0,0,0.8,50,260,50,50,130,1,0.5,50,180,1.8
5:00,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
5:05,1,300,60,0.8,110,260,50,110,130,1,0.5,110,180,1.8
5:20,0,0,0,0.8,50,260,50,50,130,1,0.5,50,180,1.8
5:35,0,0,0,0.8,50,260,50,50,130,1,0.5,50,180,1.8
