Schedule,PlaneNum
0:00,1.0,
0:05,5.0,
0:10,5.0,
0:15,1.0,
0:20,2.0,
0:25,3.0,
0:30,3.0,
0:35,2.0,
0:40,1.0,
0:45,3.0,
0:50,1.0,
0:55,3.0,
10:00,3.0,
10:10,3.0,
10:15,2.0,
10:20,0.0,
10:25,2.0,
10:30,2.0,
10:35,2.0,
10:40,1.0,
10:45,2.0,
10:50,1.0,
10:55,3.0,
11:00,3.0,
11:05,1.0,
11:10,2.0,
11:15,0.0,
11:20,2.0,
11:25,1.0,
11:30,1.0,
11:35,0.0,
11:40,0.0,
11:45,1.0,
11:50,1.0,
11:55,0.0,
12:05,0.0,
12:10,0.0,
12:15,0.0,
12:20,0.0,
12:25,0.0,
12:30,0.0,
12:35,0.0,
12:40,0.0,
12:45,0.0,
12:50,0.0,
12:55,1.0,
13:00,0.0,
13:05,4.0,
13:10,1.0,
13:15,0.0,
13:20,1.0,
13:45,0.0,
13:50,0.0,
13:55,1.0,
14:00,0.0,
14:05,0.0,
14:10,2.0,
14:15,2.0,
14:20,1.0,
14:30,0.0,
14:35,3.0,
14:40,1.0,
14:45,3.0,
14:55,3.0,
15:00,1.0,
15:05,4.0,
15:10,1.0,
15:15,2.0,
15:20,0.0,
15:30,2.0,
15:35,2.0,
15:40,1.0,
15:45,3.0,
15:50,1.0,
15:55,3.0,
16:05,0.0,
16:10,1.0,
16:15,0.0,
16:20,0.0,
16:25,2.0,
16:30,1.0,
16:40,0.0,
16:45,0.0,
16:50,0.0,
16:55,2.0,
17:05,4.0,
17:10,1.0,
17:15,0.0,
17:20,1.0,
17:25,1.0,
17:30,2.0,
17:35,3.0,
17:40,1.0,
17:50,1.0,
17:55,3.0,
18:00,2.0,
18:05,2.0,
18:10,3.0,
18:15,0.0,
18:20,0.0,
18:25,1.0,
18:35,2.0,
18:40,0.0,
18:45,1.0,
18:50,0.0,
18:55,3.0,
19:00,1.0,
19:05,1.0,
19:10,0.0,
19:15,2.0,
19:25,2.0,
19:30,3.0,
19:35,0.0,
19:40,1.0,
19:45,2.0,
19:50,2.0,
19:55,0.0,
1:00,1.0,
1:05,1.0,
1:10,1.0,
1:15,3.0,
1:20,1.0,
1:25,0.0,
1:30,3.0,
1:35,2.0,
1:40,2.0,
1:45,1.0,
1:50,0.0,
1:55,1.0,
20:00,3.0,
20:05,0.0,
20:10,0.0,
20:15,2.0,
20:20,3.0,
20:25,1.0,
20:30,3.0,
20:35,0.0,
20:40,1.0,
20:45,1.0,
20:50,2.0,
20:55,2.0,
21:00,3.0,
21:05,0.0,
21:10,2.0,
21:15,0.0,
21:25,1.0,
21:30,1.0,
21:35,1.0,
21:40,3.0,
21:45,2.0,
21:50,2.0,
21:55,1.0,
22:00,1.0,
22:05,1.0,
22:10,1.0,
22:15,2.0,
22:20,1.0,
22:25,2.0,
22:35,0.0,
22:40,2.0,
22:45,1.0,
22:50,1.0,
22:55,1.0,
23:00,2.0,
23:05,1.0,
23:10,1.0,
23:15,1.0,
23:20,1.0,
23:25,2.0,
23:30,0.0,
23:35,3.0,
23:40,2.0,
23:45,2.0,
23:50,2.0,
23:55,1.0,
2:00,1.0,
2:05,1.0,
2:10,3.0,
2:15,1.0,
2:20,3.0,
2:30,1.0,
3:10,2.0,
4:30,0.0,
5:00,0.0,
5:05,0.0,
5:20,2.0,
5:35,1.0,
6:00,2.0,
6:05,1.0,
6:30,2.0,
7:10,0.0,
7:20,3.0,
7:40,1.0,
7:55,2.0,
8:10,3.0,
8:35,0.0,
8:40,2.0,
8:45,3.0,
8:50,1.0,
8:55,1.0,
9:05,1.0,
9:10,1.0,
9:15,1.0,
9:25,4.0,
9:30,1.0,
9:35,1.0,
9:40,2.0,
9:45,3.0,
9:50,3.0,
