	log2FoldChange
101119185	8.545262006
101118386	8.12154913
101111297	4.192980591
101105803	3.344380417
101107690	3.708106914
101105662	6.434453864
101109187	4.579635394
101117899	2.230077866
101119706	2.417054579
100170328	8.262998301
101119080	3.196373546
101113198	6.076326778
101121363	3.185905517
101105056	1.776353917
100101231	2.240488873
101102812	-2.162675078
101107412	1.172857231
101117366	1.754976711
101112037	3.153485745
101120574	1.846696618
101111820	-2.244333262
101115216	1.580281697
101114256	1.866358902
101117552	5.261790958
101110686	-2.489888423
105606027	2.605666934
101103289	1.72938298
101103691	-3.141620501
101120284	2.893738198
101120124	1.526455784
443255	2.539633299
101103445	4.130780043
101108990	1.528216578
101113649	2.59769134
101104848	-1.315342675
101122687	-2.075014531
101107806	-2.364871847
101111860	5.489319437
101113412	1.820855309
101116543	2.423341694
101107094	2.557476579
101114816	-2.072636577
101104744	1.260912926
101103086	1.516524914
101103177	1.053569164
101115241	1.677097504
101108212	-2.131787411
101112285	-2.779772499
443392	5.185641045
101112970	1.779998642
101104949	2.12115662
100170318	-3.387590763
100127211	1.233531411
101116420	-1.177530759
101106233	1.573912441
443512	2.082391065
101120244	6.444660043
101110723	0.955175471
114117342	3.350978323
101117889	-2.107320927
101103928	-1.160491845
101109764	-2.115403892
101116907	-2.529839146
101110962	5.66923458
101112806	-1.587359956
114114762	2.10248795
101106623	1.973284161
101111781	2.70236354
100034672	4.496032645
101114773	-2.545905409
101104479	-2.56911486
443163	3.112776407
101121397	1.506583841
101109209	-2.829943295
101121038	6.523215094
101120495	5.17228584
443381	1.37133415
101113737	1.241254388
101116007	-3.555366098
101103367	3.694962362
101108042	-1.100502603
101108530	1.263650389
541606	1.376572487
101123485	2.439279383
101119975	1.474462082
101103290	2.75763421
101114639	1.335924552
101122202	2.074741741
101117352	3.517880281
101122533	2.200621368
114108708	-2.10399789
101107483	-1.655780464
101108733	-3.861814986
101120527	2.544513154
101107101	2.325673667
101103536	-1.157746256
101120570	3.696276489
105605854	-3.618502008
101114493	2.144828099
105606925	-1.684507513
105610361	1.264239856
100820737	3.611268496
101102183	1.484944675
101115805	1.948359408
101121978	1.119846084
101104895	1.509457765
101117380	4.230676968
101105464	1.069375406
101116807	1.728448148
101113644	0.970158932
443085	1.941020165
101119999	-1.209628917
101118766	2.171910499
101107777	1.871735776
494438	1.186177249
101102689	5.958916441
101118155	-1.35315715
443051	1.816654224
101103318	-1.429582047
101116024	-2.709400132
101116793	-4.361915323
114110265	3.120444432
101105245	0.873128963
101121558	2.926433809
101118694	1.102164956
101107744	3.085021107
100190978	3.135556422
105607437	7.58393968
100216434	-2.360228978
101114245	3.673051853
101115069	-3.305392008
114110481	-2.67274294
101113515	1.446228942
101103077	-2.200341755
101107114	1.097956635
101120423	1.616243582
101114241	1.222607116
101102951	1.456951209
101102433	-1.310266902
101117542	1.392259166
114108615	1.697080478
101119327	-1.314648063
101119271	1.904983716
101112674	-1.549617903
101109248	-5.352778619
101119464	1.175220487
105602801	-1.396962679
101117624	-1.649985125
101104350	1.965156285
101103308	3.160383867
101113711	2.04053625
101109357	2.101959757
101117513	1.350219665
101102716	-0.945910869
443074	-2.720647371
101105057	1.080250689
101119180	0.85081717
101120941	1.953928941
101106565	4.188435463
101102304	2.179280293
100305131	2.02878345
101110107	1.957500743
101107964	1.124356867
101102351	0.962441832
101107889	1.90529518
101108488	4.480211541
101107456	-2.089117766
101121625	0.933068459
114114763	2.080741025
100642179	2.422810977
101103798	1.487259329
101115707	-2.050344359
101108767	4.650884412
101102507	1.54728657
101102761	4.292604203
101120608	1.000845769
101110627	-4.72380159
101115373	1.325143394
101111038	-2.086702575
101117818	2.03080313
101121158	-2.295914063
101120758	2.121222757
101106320	0.987534812
101109704	-1.849981979
100174903	-2.134778083
101117052	0.94120212
101103544	-1.817523909
101122123	1.070330538
101114328	-1.370291373
101111384	0.968715912
101105028	1.073262452
101109393	3.850837386
554320	0.873501645
101107077	1.201099398
105604105	-1.236358503
101103613	1.673820764
101107127	-1.618208705
106991500	-2.386326228
101110057	-2.093338847
101114308	1.314324895
554329	1.649073586
101115552	2.490828255
101105162	-1.879475134
101108509	1.565722386
101109593	-1.568192569
100270711	1.106959354
101122713	1.533232772
105608279	-2.174554866
101106340	1.066264733
101114474	-1.709765959
443126	1.565839901
443444	3.544809027
101117190	0.862461892
101114114	-1.755859624
101112673	0.840962052
443140	2.232403937
101123174	0.955304011
101108587	2.517304565
101111107	0.90563498
101102495	-1.384626962
101117174	1.174018733
100307044	-1.034929125
100125611	1.357295888
114108861	-1.164707522
100415773	2.078821611
101109208	1.346348449
101115627	-1.886096172
101113456	-1.127147857
101105529	1.982598861
101104377	-2.064327056
101118477	1.515931494
101106034	2.49342692
101112675	1.934881822
101109288	1.144938625
101103724	8.105554713
101123635	1.291863171
100423047	2.401656751
101107968	0.853018885
101115614	2.147824365
443335	6.355027924
101113723	1.592174191
101119104	-3.002922916
101105804	1.212263546
101103837	1.760781673
101114485	-0.887273351
101107439	1.225243521
780443	1.03322304
101103359	3.822116628
105603471	-1.99173879
101113570	4.336404852
101104305	1.631365104
101107858	-3.160416827
443479	-1.429817592
101111137	4.620056129
101113697	3.400510425
101120426	-1.848553164
106990219	-3.241308242
100302303	1.312190979
101110333	-1.120700183
101120959	0.815139404
101122475	1.430306311
101121335	0.988118508
114110468	1.779626885
101106987	1.215624121
106991003	4.376108496
101119401	-5.090910241
114113858	-1.454588886
101120603	1.750137354
101116664	-2.33997939
101103353	1.286195651
101108440	1.100508534
101106830	1.582758167
101110694	2.671330023
114114475	-5.196927417
101120469	-1.275269262
101104701	1.119078005
101115134	0.752254437
101107388	1.024527442
114116619	-1.591850645
114108738	-2.151374404
443483	1.884253095
101121755	-2.705588781
101120689	-1.63088045
101106028	1.474686534
101123140	1.563072995
101111871	1.48908712
114113940	-2.0573106
101111606	1.226755929
101120518	3.136762824
101107922	-1.192924872
101116670	1.906823815
443273	2.174463706
105606344	-4.262022837
101112088	1.283067724
101105042	-1.500657939
101114410	3.534538312
101119285	-1.656129003
101113949	1.600989729
101111927	0.832189587
101106644	1.193570961
101121171	-1.705257916
100135445	1.029619809
100294605	2.60628327
101107217	-1.464661307
100310793	4.849445815
101112182	-2.014681729
101117775	0.93534755
100302552	0.972142667
100302313	1.999277236
101102475	1.69499962
101109076	2.093365686
101117980	1.506661787
101122517	4.989893964
100135692	1.462881058
101119319	-1.171411522
101121169	-1.235627895
101106186	0.96623757
114114806	4.226930171
101110347	-2.288863888
101112723	2.079989486
101115765	1.846732909
105603269	-2.797847451
101107568	2.203418395
101109745	-1.529512207
101104413	1.768488588
101123484	0.898170866
101107449	-2.578854595
114115365	-2.83523122
101106782	1.269262756
100381267	5.944819236
105604599	-1.609349702
101110090	-2.281421829
101111932	-2.218749722
101117691	3.001144405
101108246	0.891736478
101104344	1.60944791
101115275	-2.473558556
101117758	-1.371820422
101113658	-7.178600376
101123553	0.814100194
101105948	2.023537002
101119069	2.235375979
101109348	-2.298539995
106991816	-1.840267147
114112430	-4.500892786
101109715	-1.620617089
100037671	1.130640669
105603910	-2.770047377
100174904	-2.152890511
101107824	-1.875136637
101108723	1.155942576
101116605	-1.668734738
101107897	0.785029271
101110341	5.202093653
101106552	-1.741485326
101122026	-2.536074101
101103262	0.781765392
105603786	-2.330102738
100127217	3.242721733
101119337	0.937791762
