		Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment
oas04512	ECM-receptor interaction	22	1.354679803	3.13713E-06	101118337, 101105162, 101114493, 101106433, 443140, 101115115, 101115211, 100423047, 101119848, 101115552, 101110415, 443512, 100216328, 101109832, 100101231, 101114307, 100216462, 101120495, 101107777, 101115805, 443483, 443051	596	90	7729	3.169985086
oas05032	Morphine addiction	17	1.04679803	0.00074886	101105268, 101108418, 101105363, 100913155, 101108953, 101107286, 101109816, 101110493, 101117759, 101111757, 101116101, 101103544, 101102089, 101122722, 101116423, 101114027, 101117366	596	86	7729	2.563465741
oas04913	Ovarian steroidogenesis	13	0.800492611	0.000786644	443108, 768095, 101110778, 101119706, 443122, 443460, 100190978, 100170113, 101102089, 443299, 100048994, 101115654, 443535	596	55	7729	3.06519219
oas00330	Arginine and proline metabolism	13	0.800492611	0.000932669	101106659, 101116374, 100192423, 101112841, 101110987, 101112338, 101112561, 101110393, 101118747, 101106401, 101112287, 100174904, 443077	596	56	7729	3.010456616
oas01100	Metabolic pathways	127	7.820197044	0.001313296	101120808, 101113530, 101111161, 101102912, 101121995, 101123048, 100048994, 443108, 101107690, 101113198, 101105645, 101112287, 101101880, 101120124, 105601873, 101119794, 101103276, 101111781, 101116841, 101102606, 100170113, 494438, 101120283, 101120689, 101110653, 101110393, 443077, 101109593, 101117509, 101109305, 101115312, 101108532, 101112841, 101122979, 101110067, 101103928, 101116587, 101108733, 101118441, 101117786, 101111922, 101122555, 101106401, 100190978, 101107672, 101109288, 101102267, 100192423, 101115373, 101105711, 101110987, 443544, 101112338, 101121296, 654404, 101109704, 101110778, 101102875, 101116072, 101107683, 101117624, 101115627, 443192, 101106554, 101107095, 101116374, 101117174, 101102559, 101117899, 101107465, 101107953, 101109216, 101115360, 101111344, 101104744, 101107188, 101107269, 768095, 101104949, 100174904, 101112348, 100192315, 101108509, 101109366, 101109937, 101116418, 101107456, 101113026, 101104544, 101110414, 101109164, 101118747, 101110922, 101116572, 101104485, 101120469, 100145875, 101111049, 101118587, 101123332, 101104590, 443089, 101115347, 101103674, 101112561, 101109536, 101110627, 443085, 101123639, 101122606, 101102245, 100620048, 101106116, 101118487, 101106659, 101120570, 101117476, 101110535, 101102764, 101116487, 101119093, 101108314, 443460, 100137069, 101114816, 101107841, 101114008	596	1280	7729	1.286680736
oas04510	Focal adhesion	30	1.84729064	0.001517754	105603910, 101105162, 100127211, 101115552, 443512, 100101231, 101123635, 101123247, 101114307, 101112600, 101120495, 101107777, 101115840, 101115805, 101121312, 101118337, 101114493, 101106433, 443140, 101115211, 100423047, 101119848, 101109832, 100216328, 100216462, 443483, 443051, 101116423, 101107936, 101113847	596	211	7729	1.843808645
oas00601	Glycosphingolipid biosynthesis - lacto and neolacto series	6	0.369458128	0.038949276	101104949, 101102267, 101107465, 100620048, 101106554, 101114008	596	25	7729	3.112348993
oas04915	Estrogen signaling pathway	14	0.862068966	0.039512114	101108864, 101118565, 101123635, 101116101, 101123247, 101103544, 101102089, 101107064, 443077, 101113882, 101115216, 443066, 101107936, 101113847	596	99	7729	1.833875669
oas04060	Cytokine-cytokine receptor interaction	26	1.600985222	0.043081884	101102552, 101119890, 101108407, 101104201, 101112653, 101116664, 101103054, 101117352, 443126, 101113836, 101121145, 101110180, 443302, 101111039, 443333, 101104174, 101105858, 101120724, 101103308, 101117554, 101120946, 101103793, 101123054, 101121773, 101105948, 101108354	596	227	7729	1.485335423
oas04966	Collecting duct acid secretion	6	0.369458128	0.045282613	101108509, 101111082, 101113341, 101107683, 494438, 101123332	596	26	7729	2.992643263
